Field,Mean,Std,Log
B,-5.511363458514168,2.605780371501887,true
nu_e,17.81867159721436,3.3718219558577838,true
nu_an,17.313887163398096,4.436198023004695,true
nn,39.67700167722503,9.62222605922289,true
ne,40.69086058145312,3.147004845228281,true
ni_1,40.31937372429578,3.229578188278618,true
ni_2,38.24628252631988,3.6252220121725798,true
ni_3,35.36569856354893,4.624939975853241,true
ui_1,13453.670272407076,17900.560132921764,false
ui_2,18950.677857109105,25131.238099077862,false
ui_3,21937.425763549476,29904.03515843411,false
ue,-51509.03829973744,189402.5728393418,false
phi,172.4273461680873,369.47202019448764,false
E,5135.6717224579215,20006.959551082757,false
Tev,14.340085037730493,27.35753053781243,false
pe,42.921132972990215,3.6166453331596022,true
âˆ‡pe,-7.852366840912591e19,3.311823733635623e21,false
